Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
23,7,3.934208,16,5
24,2,4.748068,17,2
15,18,3.211966,8,20
20,13,3.419885,10,13
13,9,3.286905,12,50
23,8,3.904825,16,2
24,3,4.440349,17,2
18,17,3.165005,10,18
23,9,3.853760,16,1
24,4,4.421600,18,1
15,19,3.162304,7,10
21,5,3.706273,15,28
17,14,3.444826,14,28
18,18,3.145524,9,7
23,10,3.327210,15,5
12,20,2.893751,9,21
24,5,4.411099,19,8
22,9,3.418575,8,22
20,14,3.248261,10,19
23,11,3.091167,15,6
24,6,4.318090,18,2
24,7,4.176039,18,2
22,10,3.406468,8,8
21,6,3.697661,14,12
18,19,3.036692,9,17
17,15,3.441886,13,16
23,12,3.055938,15,10
21,7,3.693356,13,11
23,13,2.995393,15,3
13,10,3.177727,11,40
22,11,3.399504,8,20
12,21,2.878081,8,27
20,15,3.196540,9,23
24,8,4.175481,18,13
17,16,3.380637,13,12
24,9,4.058443,18,2
15,20,3.160395,8,47
24,10,4.011370,18,2
15,21,3.143151,8,3
24,11,3.994758,17,1
24,12,3.892658,17,1
24,13,3.890273,16,2
24,14,3.887470,15,1
24,15,3.850791,15,1
18,20,3.017824,8,40
20,16,3.170178,9,21
15,22,3.134641,7,11
23,14,2.955405,15,15
19,12,3.242168,11,51
21,8,3.519044,13,17
20,17,3.135286,8,3
24,16,3.849164,14,3
22,12,3.346630,7,24
24,17,3.604255,14,1
24,18,3.583189,13,1
24,19,3.520963,13,1
20,18,3.099595,8,11
21,9,3.406950,12,8
18,21,3.004275,7,19
20,19,3.063576,7,8
12,22,2.876669,9,39
17,17,3.370053,12,26
24,20,3.517076,12,16
15,23,2.997085,8,41
22,13,3.311663,8,42
24,21,3.512767,11,10
12,23,2.861576,8,25
24,22,3.507808,10,3
24,23,3.288639,10,3
21,10,3.381043,12,27
24,24,3.276235,9,1
13,11,3.101404,11,72
25,-1,4.994274,18,0
18,22,3.004275,7,55
20,20,2.915229,7,45
26,-1,4.798752,17,0
25,0,4.770096,18,2
25,1,4.650056,18,2
26,0,4.788698,17,5
25,2,4.630616,18,3
13,12,3.095836,10,14
17,18,3.330386,13,31
25,3,4.582719,18,1
25,4,4.566886,17,1
17,19,3.304680,13,2
23,15,2.930553,14,43
26,1,4.720257,16,5
25,5,4.560726,16,3
13,13,3.095480,9,9
17,20,3.227127,12,5
25,6,4.559216,15,2
25,7,4.551746,16,1
26,2,4.546336,15,5
17,21,3.133650,11,4
25,8,4.546349,15,2
25,9,3.994897,15,1
25,10,3.984094,15,1
26,3,3.668131,14,3
26,4,3.622898,14,1
25,11,3.882265,14,1
26,5,3.398916,14,3
15,24,2.997085,8,53
26,6,3.368408,13,2
27,-1,4.910620,17,0
20,21,2.915229,7,46
19,13,3.242168,11,71
27,0,4.739659,16,1
28,-1,4.469408,17,0
27,1,4.362684,17,1
22,14,3.296690,8,52
29,-1,4.476152,20,0
28,0,4.453555,17,1
28,1,4.432421,17,1
26,7,3.358597,12,5
28,2,4.381324,17,1
25,12,3.873320,14,10
29,0,4.335417,20,3
