Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
14,47,2.872111,7,54
14,47,2.872622,6,54
14,48,2.872111,7,6
10,34,2.788205,9,33
17,0,4.667557,18,7
16,29,2.858405,7,17
17,1,4.452612,17,5
1,53,2.928551,7,51
1,53,2.928551,7,51
11,26,3.177727,12,84
11,26,3.177727,12,84
17,2,4.444775,17,2
3,59,2.709020,7,59
3,59,2.718934,8,59
6,56,2.805902,6,59
6,56,2.818375,7,59
4,54,3.191784,8,45
4,54,3.191784,8,45
17,3,3.934497,18,9
2,36,2.861576,8,76
2,36,2.888271,7,76
3,60,2.709020,7,7
17,4,3.784196,17,3
6,57,2.805902,6,15
17,5,3.731408,16,1
8,43,3.191784,8,47
8,43,3.191784,8,47
17,6,3.715284,16,1
13,41,2.773949,7,65
13,41,2.784195,8,65
14,49,2.872111,7,51
14,49,2.872622,6,51
12,38,2.861576,8,77
12,38,2.876669,9,77
7,52,2.783660,8,71
7,52,2.789505,9,71
14,50,2.872111,7,5
7,53,2.783660,8,2
17,7,3.648495,16,6
16,30,2.809385,7,58
13,42,2.773949,7,14
1,54,2.928551,7,58
1,54,2.928551,7,58
16,31,2.783660,8,10
15,42,2.786773,9,66
15,42,2.801423,10,66
12,39,2.861576,8,28
17,8,3.604604,15,14
15,43,2.786773,9,10
3,61,2.709020,7,62
3,61,2.718934,8,62
4,55,3.191784,8,44
4,55,3.200732,9,44
2,37,2.861576,8,53
10,35,2.788205,9,70
10,35,2.812797,10,70
6,58,2.805902,6,63
6,58,2.818375,7,63
3,62,2.709020,7,9
4,56,3.191784,8,11
14,51,2.872111,7,52
14,51,2.884396,8,52
8,44,3.191784,8,45
8,44,3.200732,9,45
13,43,2.773949,7,54
13,43,2.784195,8,54
1,55,2.928551,7,59
1,55,2.939454,8,59
6,59,2.805902,6,14
14,52,2.872111,7,6
5,33,2.810518,11,69
8,45,3.191784,8,6
13,44,2.773949,7,8
1,56,2.928551,7,16
11,27,3.177727,12,81
11,27,3.177727,12,81
7,54,2.783660,8,71
7,54,2.789505,9,71
7,55,2.783660,8,2
17,9,3.526308,14,27
16,32,2.718934,8,64
14,53,2.856679,7,27
16,33,2.709020,7,7
14,54,2.811816,7,7
3,63,2.709020,7,61
3,63,2.778243,8,61
17,10,3.484250,14,9
14,55,2.805902,6,7
14,56,2.803240,7,6
4,57,3.191784,8,41
4,57,3.200732,9,41
6,60,2.805902,6,56
6,60,2.818375,7,56
10,36,2.798807,9,44
3,64,2.709020,7,10
14,57,2.796280,8,2
13,45,2.773949,7,57
13,45,2.784195,8,57
6,61,2.805902,6,11
1,57,2.928551,7,55
1,57,2.939454,8,55
4,58,3.191784,8,8
14,58,2.783660,8,8
17,11,3.472417,13,14
12,40,2.861576,8,70
