Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
37,11,3.045932,15,8
36,19,3.104327,13,5
37,12,2.964310,14,12
34,24,2.793280,11,41
37,13,2.893969,14,13
36,20,3.095818,12,28
37,14,2.876669,14,22
36,21,2.964903,12,22
34,25,2.782669,11,68
36,22,2.873524,12,27
36,23,2.861450,11,11
37,15,2.861576,13,35
36,24,2.852608,10,28
36,25,2.817111,10,29
38,-1,3.698370,17,0
38,0,3.623236,16,1
38,1,3.584520,16,11
38,2,3.495139,15,6
36,26,2.815793,10,45
38,3,3.448330,14,8
36,27,2.802206,9,18
38,4,3.334056,14,6
39,-1,4.550338,17,0
39,0,4.516922,17,1
39,1,4.493964,17,1
38,5,3.317502,14,13
39,2,4.436048,17,6
36,28,2.799144,10,67
38,6,3.281454,15,16
39,3,4.310634,17,11
38,7,3.236756,15,5
39,4,4.291035,17,5
39,5,3.970260,18,2
39,6,3.926765,18,10
38,8,3.188436,14,14
39,7,3.883091,18,13
38,9,3.160395,14,17
39,8,3.837582,18,5
40,-1,4.325941,20,0
40,0,4.276823,19,3
40,1,4.254397,18,1
40,2,4.231147,19,2
40,3,3.462156,19,1
40,4,3.456511,19,7
40,5,3.420791,18,9
38,10,3.134641,14,45
40,6,3.384202,18,17
40,7,3.341284,17,21
40,8,3.340409,17,8
41,-1,3.795325,19,0
41,0,3.698890,19,4
41,1,3.692139,19,3
41,2,3.685523,19,2
41,3,3.661850,18,1
38,11,2.997085,14,46
41,4,3.600346,18,13
40,9,3.327031,17,27
41,5,3.577473,17,1
41,6,3.550596,16,4
41,7,3.513772,15,3
41,8,3.470121,16,12
40,10,3.326732,17,21
41,9,3.462339,16,9
40,11,3.306486,17,12
40,12,3.283066,16,12
41,10,3.397788,15,20
42,-1,4.478733,19,0
42,0,4.316320,19,1
42,1,4.225142,20,7
42,2,3.948185,20,3
41,11,3.325989,14,23
40,13,3.242277,17,45
42,3,3.938190,19,25
41,12,3.310040,13,22
41,13,3.270450,13,2
40,14,3.211760,16,21
42,4,3.865619,19,16
41,14,3.261191,12,16
41,15,3.241558,11,3
42,5,3.857438,19,8
41,16,3.236062,10,6
42,6,3.820717,19,2
42,7,3.775151,19,2
42,8,3.637485,18,6
42,9,3.548926,17,3
41,17,3.233668,9,24
40,15,3.202236,15,31
41,18,2.974171,9,35
42,10,3.362423,16,35
41,19,2.915115,9,20
40,16,3.188582,15,42
42,11,3.312842,15,32
43,-1,5.002924,20,0
43,0,4.992597,20,3
40,17,3.187732,14,24
43,1,4.937072,19,4
43,2,4.878327,18,3
43,3,4.727064,18,1
43,4,4.704916,18,1
43,5,4.617589,18,1
43,6,4.063695,18,1
43,7,3.889604,18,4
43,8,3.879022,18,7
42,12,3.284010,14,49
43,9,3.824617,17,3
40,18,3.174523,13,39
43,10,3.789283,17,7
43,11,3.750536,17,1
42,13,3.264269,13,21
43,12,3.683383,16,5
43,13,3.622255,16,2
43,14,3.542611,15,4
42,14,3.209714,13,16
43,15,3.320403,15,10
43,16,3.299897,15,3
42,15,3.187561,13,11
40,19,3.172515,13,36
42,16,3.096799,12,5
40,20,3.114641,13,1
42,17,3.039559,12,3
40,21,3.047548,13,4
40,22,2.998878,13,9
43,17,3.233062,14,14
40,23,2.959844,13,9
42,18,2.983519,11,28
43,18,3.151187,13,14
43,19,3.098951,13,5
42,19,2.957283,11,11
40,24,2.900733,13,18
40,25,2.867012,13,2
40,26,2.851371,12,3
43,20,2.915883,12,6
40,27,2.811259,12,1
40,28,2.772448,11,16
43,21,2.905860,11,21
42,20,2.933690,10,29
40,29,2.762051,11,25
43,22,2.895186,10,17
43,23,2.884396,9,5
43,24,2.872111,8,22
40,30,2.732749,12,41
44,-1,3.530721,19,0
44,0,3.525435,18,1
44,1,3.519292,17,1
40,31,2.725019,11,16
44,2,3.465121,17,3
43,25,2.867570,8,49
44,3,3.438555,16,4
44,4,3.398917,15,2
40,32,2.714772,10,24
44,5,3.350956,15,13
40,33,2.710206,10,14
45,-1,4.359198,20,0
40,34,2.702912,9,15
45,0,4.121569,19,6
45,1,4.086484,19,2
44,6,3.302642,15,22
45,2,4.044865,18,5
45,3,3.842791,18,1
45,4,3.809378,18,1
45,5,3.806327,18,2
45,6,3.797204,18,3
45,7,3.747699,17,1
45,8,3.704802,16,5
45,9,3.454171,15,2
45,10,3.384741,14,3
46,-1,4.759876,16,0
44,7,3.242168,15,27
45,11,3.247903,13,6
46,0,4.750562,16,5
45,12,3.237009,12,2
46,1,4.461594,15,6
46,2,4.414039,15,1
46,3,4.345186,14,5
46,4,3.592128,14,2
46,5,3.587480,13,4
46,6,3.564962,12,3
46,7,3.529684,12,10
46,8,3.489439,13,1
45,13,3.218131,13,36
46,9,3.475847,13,6
46,10,3.367569,12,13
45,14,3.208113,12,18
46,11,3.285843,13,21
45,15,3.199469,13,30
46,12,3.191898,12,16
46,13,3.166976,12,1
45,16,3.187939,12,22
47,-1,4.536989,18,0
47,0,4.023917,19,1
47,1,3.976731,18,6
46,14,3.154169,11,41
46,15,2.870734,11,2
46,16,2.814941,10,15
47,2,3.919751,18,21
46,17,2.813521,10,14
47,3,3.863271,18,12
46,18,2.778416,9,25
47,4,3.516912,17,7
47,5,3.516807,16,8
47,6,3.513390,16,3
47,7,3.377535,15,3
48,-1,4.483751,18,0
48,0,4.302921,17,6
47,8,3.372886,14,19
47,9,3.367915,13,13
49,-1,4.213502,16,0
49,0,3.853595,16,2
48,1,4.275823,17,22
49,1,3.837633,15,2
48,2,4.238015,16,3
49,2,3.746364,16,3
48,3,4.033908,16,5
47,10,3.337552,12,16
48,4,3.871215,16,4
48,5,3.836723,16,1
49,3,3.737091,15,11
48,6,3.826967,15,5
49,4,3.602357,15,3
48,7,3.694882,15,4
