Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
25,5,3.063743,16,87
26,1,3.877730,20,92
22,15,2.927649,13,82
25,6,3.051096,16,93
27,-1,3.781694,19,0
25,7,3.039337,16,91
26,2,3.669221,20,91
25,8,3.022585,15,85
27,0,3.728981,19,88
26,3,3.602355,20,90
28,-1,4.356883,18,0
27,1,3.678111,18,89
28,0,3.582685,18,85
26,4,3.513162,20,87
27,2,3.645695,18,85
28,1,3.193725,19,87
27,3,3.599645,18,89
26,5,3.420036,19,89
27,4,3.412412,18,88
28,2,3.142303,18,89
26,6,3.373549,18,86
27,5,3.328612,19,85
28,3,3.081940,17,89
26,7,3.313690,18,87
27,6,3.324854,18,91
28,4,3.024751,16,91
27,7,3.320861,18,89
29,-1,3.992594,20,0
28,5,2.955539,15,85
27,8,3.316654,18,79
28,6,2.943490,14,88
29,0,3.919544,20,96
27,9,3.311914,17,75
28,7,2.937921,14,89
27,10,3.295294,18,79
29,1,3.806515,20,90
28,8,2.930085,13,80
27,11,3.285894,18,80
28,9,2.923715,13,68
29,2,3.657031,20,100
28,10,2.875039,14,70
30,-1,3.950456,16,0
28,11,2.858546,13,73
30,0,3.688803,15,84
29,3,3.562416,20,100
28,12,2.846869,12,76
30,1,3.389971,15,89
28,13,2.835693,11,70
29,4,3.468072,19,100
28,14,2.832345,10,63
30,2,3.157117,14,73
28,15,2.828566,9,60
28,16,2.824590,8,52
31,-1,4.299098,19,0
30,3,3.048843,13,65
29,5,3.342702,18,98
30,4,2.958738,12,64
30,5,2.954316,11,62
29,6,3.272585,17,86
31,0,4.092834,20,93
30,6,2.869103,11,58
30,7,2.854447,11,69
29,7,3.147531,17,92
31,1,3.788898,19,90
30,8,2.839982,12,59
30,9,2.835032,13,74
29,8,3.047151,16,94
31,2,3.643367,19,88
30,10,2.832755,12,78
29,9,2.989400,16,90
30,11,2.832433,11,74
30,12,2.831676,10,69
31,3,3.291041,18,97
29,10,2.965369,15,94
30,13,2.830718,9,60
30,14,2.830603,9,54
29,11,2.939055,14,82
32,-1,4.755724,19,0
31,4,3.133146,18,95
33,-1,5.220736,20,0
32,0,3.558373,19,95
31,5,3.071396,17,90
33,0,4.188125,21,93
32,1,3.189615,18,95
31,6,3.003359,17,97
33,1,3.902058,20,97
32,2,3.107063,17,95
31,7,2.882146,17,91
33,2,3.690594,19,93
32,3,3.036597,16,89
31,8,2.871332,16,94
32,4,2.959365,16,92
33,3,3.492855,19,90
31,9,2.859546,15,86
32,5,2.890711,15,91
33,4,3.432694,18,95
31,10,2.856758,16,90
32,6,2.829769,14,88
31,11,2.855419,17,85
33,5,3.381062,17,91
32,7,2.815128,13,90
33,6,3.326780,16,91
32,8,2.804065,12,90
34,-1,4.678451,18,0
32,9,2.794670,11,84
33,7,3.257420,15,87
34,0,4.204120,18,81
32,10,2.752453,11,83
33,8,3.161615,14,84
34,1,3.774155,18,85
35,-1,4.888266,19,0
33,9,3.145622,13,88
35,0,4.184776,20,82
34,2,3.529578,18,88
33,10,3.044512,13,90
33,11,3.027022,12,83
35,1,3.993714,19,86
34,3,3.186838,17,86
33,12,3.016846,11,80
33,13,3.012778,11,80
35,2,3.911836,18,87
34,4,3.107485,16,91
33,14,3.005667,11,80
35,3,3.863628,17,80
33,15,2.990836,10,85
34,5,3.025230,16,91
36,-1,4.846986,18,0
35,4,3.798122,17,74
34,6,2.948478,15,95
36,0,4.517554,19,86
35,5,3.785828,17,77
34,7,2.921355,14,88
36,1,3.775842,19,83
35,6,3.582217,17,80
34,8,2.911655,13,91
36,2,3.522959,18,87
35,7,3.534114,16,93
34,9,2.901292,12,69
35,8,3.487697,15,92
36,3,3.446543,18,81
34,10,2.890516,11,74
35,9,3.452436,16,88
34,11,2.879515,10,72
36,4,3.383066,17,87
37,-1,4.634794,17,0
35,10,3.031275,16,85
36,5,3.332920,18,74
37,0,3.539260,18,85
35,11,2.993697,15,88
36,6,2.993977,18,71
35,12,2.959454,14,80
37,1,3.334292,18,89
36,7,2.936206,18,85
35,13,2.841408,13,80
37,2,3.236317,18,88
35,14,2.831198,12,81
36,8,2.921467,17,87
35,15,2.819939,11,91
37,3,3.112080,18,79
35,16,2.812073,10,87
36,9,2.910324,16,86
35,17,2.803444,9,80
37,4,3.032746,17,87
38,-1,3.698370,17,0
36,10,2.884263,15,87
37,5,2.940942,17,81
38,0,3.437704,17,83
36,11,2.852454,15,86
37,6,2.872246,16,84
36,12,2.839677,14,93
38,1,3.324842,17,90
37,7,2.805472,15,92
39,-1,4.550338,17,0
38,2,3.274940,17,88
37,8,2.790532,14,87
39,0,3.650555,18,91
37,9,2.786773,13,82
38,3,3.227308,17,91
40,-1,4.325941,20,0
39,1,3.572545,17,94
38,4,3.177727,17,88
40,0,3.935590,21,85
39,2,3.476673,16,91
41,-1,3.795325,19,0
