RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
5_17_37,17,37,5,9,3.372553527615214,18,4
5_17_37,17,37,5,10,3.337645370108314,18,1
5_17_37,17,37,5,11,3.2773385303308555,17,9
6_17_37,17,37,6,6,3.746976246518717,14,24
5_17_37,17,37,5,12,3.263710929996195,17,18
4_17_37,17,37,4,6,3.355412640331391,16,39
4_17_37,17,37,4,7,3.3519569174557104,16,14
4_17_37,17,37,4,8,3.3144229562223346,16,2
5_17_37,17,37,5,13,3.2472050180311975,17,28
6_17_37,17,37,6,7,3.689179226466744,14,51
5_17_37,17,37,5,14,3.223112032477523,17,12
6_17_37,17,37,6,8,3.582471952654703,14,3
6_17_37,17,37,6,9,3.565306581920361,14,3
6_17_37,17,37,6,10,3.5198308741305824,13,4
6_17_37,17,37,6,11,3.4471836405909935,13,15
5_17_37,17,37,5,15,3.212729331878367,17,21
6_17_37,17,37,6,12,3.3909982858292484,13,14
4_17_37,17,37,4,9,3.3144229562223346,16,75
7_18_37,18,37,7,-1,4.352863711975409,17,0
6_18_37,18,37,6,13,3.3565584192047333,12,20
5_18_37,18,37,5,16,3.042358005408332,17,42
7_18_37,18,37,7,0,4.29179048026184,16,44
6_18_37,18,37,6,14,3.320543282138093,12,57
6_18_37,18,37,6,15,3.31004069664065,12,24
6_18_37,18,37,6,16,3.2057736645207346,13,21
5_18_37,18,37,5,17,3.030926024229292,16,57
7_18_37,18,37,7,1,4.222338958923773,16,34
5_18_37,18,37,5,18,3.0122926100055745,16,7
6_18_37,18,37,6,17,3.1759666106472006,12,19
6_18_37,18,37,6,18,2.8385804961554584,12,2
5_18_37,18,37,5,19,2.9380695354006057,15,12
6_18_37,18,37,6,19,2.8357283707841026,13,25
6_18_37,18,37,6,20,2.8206311750848325,14,25
6_18_37,18,37,6,21,2.8181823243754405,13,8
7_18_37,18,37,7,2,4.222338958923773,16,75
8_19_37,19,37,8,-1,5.431843830999976,17,0
8_19_37,19,37,8,0,5.152478435876465,18,1
5_19_37,19,37,5,20,2.9380695354006057,15,75
9_20_37,20,37,9,-1,4.391594697327688,17,0
9_20_37,20,37,9,0,4.3826036375489625,18,1
8_20_37,20,37,8,1,5.099506573996311,17,10
9_20_37,20,37,9,1,4.33642503994904,17,8
